1622526060.0	1622531700.0	Normal
1622542320.0	1622548740.0	Normal
1622557740.0	1622560500.0	Abnormal
1622562120.0	1622566920.0	Normal
1622623620.0	1622631900.0	Normal
1622633220.0	1622638560.0	Normal
1622653740.0	1622657220.0	Normal
1622682540.0	1622687820.0	Normal
1622704620.0	1622711460.0	Normal
1622729460.0	1622731380.0	Normal
1622732400.0	1622756880.0	Normal
1622757240.0	1622763060.0	Normal
1622784540.0	1622791200.0	Normal
1622792340.0	1622795040.0	Normal
1622803980.0	1622806620.0	Normal
1622806980.0	1622808660.0	Abnormal
1622817420.0	1622818860.0	Normal
1622828700.0	1622831520.0	Normal
1622837400.0	1622840340.0	Normal
1622842200.0	1622849040.0	Abnormal
1622854140.0	1622858220.0	Normal
1622869200.0	1622871600.0	Normal
1622871840.0	1622874060.0	Normal
1622894640.0	1622898000.0	Normal
1622914680.0	1622918280.0	Normal
1622955360.0	1622958540.0	Normal
1622981340.0	1622984040.0	Normal
1623011280.0	1623014100.0	Normal
1623044040.0	1623046440.0	Normal
1623046800.0	1623051180.0	Normal
1623051660.0	1623053040.0	Abnormal
1623053520.0	1623057480.0	Normal
1623058500.0	1623063660.0	Abnormal
1623211320.0	1623211920.0	Abnormal
1623218520.0	1623218700.0	Abnormal
1623313440.0	1623313500.0	Abnormal
1623314520.0	1623314940.0	Abnormal
1623315660.0	1623315780.0	Abnormal
1623324300.0	1623325500.0	Abnormal
1623329460.0	1623329940.0	Abnormal
1623336960.0	1623337200.0	Abnormal
1623413220.0	1623413880.0	Abnormal
1623418020.0	1623419520.0	Abnormal
1623422760.0	1623423480.0	Abnormal
1623763140.0	1623780360.0	Abnormal
1623867360.0	1623870960.0	Normal
1623871260.0	1623875460.0	Normal
1623907920.0	1623913380.0	Normal
1623939660.0	1623945240.0	Normal
1623945480.0	1623947820.0	Normal
1623949440.0	1623952080.0	Normal
1623973260.0	1623977460.0	Normal
1623977940.0	1623981300.0	Normal
1623999180.0	1624002240.0	Normal
1624023720.0	1624026720.0	Normal
1624027020.0	1624031880.0	Normal
1624036740.0	1624039740.0	Normal
1624039980.0	1624044180.0	Normal
1624051140.0	1624058640.0	Normal
1624065720.0	1624068180.0	Normal
1624082400.0	1624085220.0	Normal
1624103760.0	1624107840.0	Abnormal
1624108020.0	1624111440.0	Normal
1624124460.0	1624126800.0	Normal
1624139400.0	1624142040.0	Normal
1624142520.0	1624145340.0	Normal
1624149000.0	1624151040.0	Normal
1624169400.0	1624174140.0	Normal
1624175460.0	1624176420.0	Abnormal
1624178100.0	1624179960.0	Abnormal
1624199160.0	1624213800.0	Normal
1624214100.0	1624219020.0	Normal
1624219680.0	1624223040.0	Normal
1624223340.0	1624225560.0	Normal
1624246200.0	1624248120.0	Normal
1624259520.0	1624265700.0	Normal
1624272240.0	1624274460.0	Normal
1624291020.0	1624299000.0	Normal
1624299360.0	1624302960.0	Normal
1624304160.0	1624305540.0	Normal
1624306560.0	1624308780.0	Normal
1624317120.0	1624318620.0	Normal
1624326480.0	1624328520.0	Normal
1624339320.0	1624342560.0	Normal
1624370520.0	1624370940.0	Abnormal
1624371180.0	1624375020.0	Normal
1624379640.0	1624383120.0	Normal
1624388880.0	1624389420.0	Abnormal
1624390800.0	1624394880.0	Normal
1624397160.0	1624399680.0	Normal
1624462620.0	1624470180.0	Normal
1624513620.0	1624518960.0	Normal
1624534080.0	1624539180.0	Normal
1624539660.0	1624542900.0	Normal
1624543320.0	1624546560.0	Normal
1624558560.0	1624561620.0	Abnormal
1624569660.0	1624572480.0	Normal
1624599360.0	1624601760.0	Normal
1624610520.0	1624614600.0	Normal
1624618200.0	1624621500.0	Normal
1624634880.0	1624638780.0	Normal
1624639320.0	1624641660.0	Normal
1624650540.0	1624652280.0	Normal
1624659420.0	1624662840.0	Normal
1624663440.0	1624664160.0	Normal
1624683120.0	1624687140.0	Abnormal
1624688580.0	1624690800.0	Normal
1624703520.0	1624705800.0	Normal
1624717800.0	1624721700.0	Normal
1624723200.0	1624725300.0	Normal
1624728720.0	1624732740.0	Normal
1624739220.0	1624740720.0	Normal
1624741380.0	1624743240.0	Normal
1624750800.0	1624752840.0	Normal
1624775580.0	1624779360.0	Normal
1624782060.0	1624783320.0	Normal
1624784160.0	1624791300.0	Normal
1624805100.0	1624808640.0	Normal
1624816740.0	1624819260.0	Normal
1624820280.0	1624821660.0	Normal
1624825920.0	1624828380.0	Normal
1624873080.0	1624876620.0	Normal
1624877100.0	1624880100.0	Normal
1624897440.0	1624898040.0	Abnormal
1624901220.0	1624904580.0	Normal
1624907160.0	1624912920.0	Abnormal
1624935840.0	1624938720.0	Normal
1624944780.0	1624947300.0	Normal
1624947660.0	1624949880.0	Normal
1625007660.0	1625011920.0	Normal
1625012340.0	1625015220.0	Normal
1625030940.0	1625036040.0	Abnormal
1625059440.0	1625060460.0	Abnormal
1625060940.0	1625070540.0	Normal
1625074020.0	1625083440.0	Abnormal
1625090520.0	1625091660.0	Abnormal
1625092320.0	1625093220.0	Abnormal
