1622526000.0	1622531700.0	Normal
1622542260.0	1622548800.0	Normal
1622557740.0	1622560500.0	Abnormal
1622562120.0	1622566980.0	Normal
1622623560.0	1622631900.0	Normal
1622633160.0	1622638560.0	Normal
1622653680.0	1622657280.0	Normal
1622682540.0	1622687820.0	Normal
1622704620.0	1622711520.0	Normal
1622729400.0	1622731440.0	Normal
1622732400.0	1622756940.0	Normal
1622757240.0	1622763060.0	Normal
1622784540.0	1622791200.0	Normal
1622792280.0	1622795040.0	Normal
1622803980.0	1622806620.0	Normal
1622806980.0	1622808720.0	Abnormal
1622817420.0	1622818860.0	Normal
1622828700.0	1622831580.0	Normal
1622837340.0	1622840340.0	Normal
1622842140.0	1622849040.0	Abnormal
1622854140.0	1622858220.0	Normal
1622869200.0	1622871600.0	Normal
1622871840.0	1622874060.0	Normal
1622894640.0	1622898060.0	Normal
1622914680.0	1622918280.0	Normal
1622955300.0	1622958540.0	Normal
1622981280.0	1622984040.0	Normal
1623011220.0	1623014160.0	Normal
1623044040.0	1623046500.0	Normal
1623046800.0	1623051240.0	Normal
1623051660.0	1623053040.0	Abnormal
1623053520.0	1623057540.0	Normal
1623058500.0	1623063660.0	Normal
1623197280.0	1623197700.0	Abnormal
1623198720.0	1623198780.0	Abnormal
1623200220.0	1623200400.0	Abnormal
1623201240.0	1623201420.0	Abnormal
1623210060.0	1623210660.0	Abnormal
1623211260.0	1623211980.0	Abnormal
1623218460.0	1623218760.0	Abnormal
1623227880.0	1623227940.0	Abnormal
1623313380.0	1623313560.0	Abnormal
1623314460.0	1623315000.0	Abnormal
1623315600.0	1623315840.0	Abnormal
1623324300.0	1623325560.0	Abnormal
1623329400.0	1623330000.0	Abnormal
1623336840.0	1623337260.0	Abnormal
1623413160.0	1623413940.0	Abnormal
1623417240.0	1623417300.0	Abnormal
1623417960.0	1623419580.0	Abnormal
1623422700.0	1623423540.0	Abnormal
1623424800.0	1623425100.0	Abnormal
1623763080.0	1623780420.0	Abnormal
1623867360.0	1623871020.0	Normal
1623871200.0	1623875460.0	Normal
1623907920.0	1623913380.0	Normal
1623939600.0	1623947820.0	Abnormal
1623949380.0	1623952080.0	Normal
1623973200.0	1623977460.0	Normal
1623977880.0	1623981300.0	Normal
1623999120.0	1624002300.0	Normal
1624023720.0	1624026780.0	Normal
1624026960.0	1624031940.0	Normal
1624036740.0	1624039800.0	Normal
1624039980.0	1624044240.0	Normal
1624051140.0	1624058640.0	Normal
1624065660.0	1624068240.0	Normal
1624082400.0	1624085220.0	Normal
1624103700.0	1624107840.0	Abnormal
1624108020.0	1624111440.0	Normal
1624124400.0	1624126800.0	Normal
1624139340.0	1624142100.0	Normal
1624142460.0	1624145340.0	Normal
1624148940.0	1624151100.0	Normal
1624169340.0	1624174200.0	Normal
1624175400.0	1624176420.0	Abnormal
1624178100.0	1624180020.0	Abnormal
1624199160.0	1624213860.0	Normal
1624214040.0	1624219080.0	Normal
1624219680.0	1624223040.0	Normal
1624223340.0	1624225620.0	Normal
1624246140.0	1624248180.0	Normal
1624259460.0	1624265760.0	Normal
1624272180.0	1624274520.0	Normal
1624291020.0	1624299000.0	Normal
1624299360.0	1624303020.0	Normal
1624304100.0	1624305600.0	Normal
1624306500.0	1624308780.0	Normal
1624317060.0	1624318680.0	Normal
1624326420.0	1624328580.0	Normal
1624339320.0	1624342620.0	Normal
1624370460.0	1624370940.0	Abnormal
1624371240.0	1624375020.0	Normal
1624379580.0	1624383120.0	Normal
1624388820.0	1624389420.0	Abnormal
1624390800.0	1624394880.0	Abnormal
1624397100.0	1624399680.0	Normal
1624462560.0	1624470180.0	Normal
1624513620.0	1624518960.0	Normal
1624534080.0	1624539180.0	Normal
1624539660.0	1624542900.0	Normal
1624543320.0	1624546560.0	Normal
1624558500.0	1624561680.0	Abnormal
1624569660.0	1624572480.0	Normal
1624599360.0	1624601820.0	Normal
1624610460.0	1624614600.0	Normal
1624618140.0	1624621560.0	Normal
1624634820.0	1624638780.0	Normal
1624639320.0	1624641660.0	Normal
1624650480.0	1624652340.0	Normal
1624659420.0	1624662840.0	Normal
1624663440.0	1624664220.0	Normal
1624683120.0	1624687140.0	Abnormal
1624688520.0	1624690800.0	Normal
1624703460.0	1624705800.0	Normal
1624717740.0	1624721760.0	Normal
1624723140.0	1624725300.0	Normal
1624728720.0	1624732800.0	Normal
1624739160.0	1624740720.0	Normal
1624741380.0	1624743300.0	Normal
1624750800.0	1624752840.0	Normal
1624775520.0	1624779420.0	Normal
1624782000.0	1624783320.0	Normal
1624784100.0	1624791360.0	Normal
1624805040.0	1624808700.0	Normal
1624816680.0	1624819260.0	Normal
1624820280.0	1624821720.0	Normal
1624825860.0	1624828380.0	Normal
1624873080.0	1624876620.0	Normal
1624877100.0	1624880100.0	Normal
1624897440.0	1624898040.0	Abnormal
1624901220.0	1624904640.0	Normal
1624907100.0	1624912980.0	Abnormal
1624935780.0	1624938720.0	Normal
1624944780.0	1624947360.0	Normal
1624947660.0	1624949880.0	Normal
1625007600.0	1625011980.0	Normal
1625012340.0	1625015220.0	Normal
1625030880.0	1625036040.0	Abnormal
1625059380.0	1625060520.0	Abnormal
1625060880.0	1625070540.0	Normal
1625074020.0	1625083440.0	Abnormal
1625090460.0	1625091720.0	Abnormal
1625092260.0	1625093280.0	Abnormal
